gene_name,gene_id,full_name,synonyms,tf_function_go,tf_process_go,n_function_terms,n_process_terms,evidence_codes,has_dna_binding,is_activator,is_repressor
GAT4,S000001452,Protein containing GATA family zinc finger motifs,YIR013C,GO:0003677,GO:0006355|GO:0045944,6,3,HDA|IDA|IEA,True,True,False
GBP2,S000000517,Poly(A+) RNA-binding protein,YCL011C|RLF6|single-stranded telomeric DNA-binding/mRNA-binding protein,GO:0003677,,12,8,HDA|IBA|IDA|IEA|IGI|IMP,True,False,False
GCN4,S000000735,bZIP transcriptional activator of amino acid biosynthetic genes,YEL009C|AAS3|ARG9|AAS101|amino acid starvation-responsive transcription factor GCN4,GO:0000981|GO:0001228|GO:0003677|GO:0003700,GO:0000122|GO:0006355|GO:0006357,19,25,HDA|IBA|IDA|IEA|IGI|IMP|IPI,True,True,True
GCR1,S000005996,Transcriptional activator of genes involved in glycolysis,YPL075W|LPF10|SIT3|transcription regulator GCR1,GO:0000981|GO:0001228|GO:0003677,GO:0045944,13,12,IBA|IDA|IEA|IMP,True,True,False
GCR2,S000005143,Transcriptional activator of genes involved in glycolysis,YNL199C,,GO:0000122|GO:0045944,2,13,IDA|IEA|IGI|IMP,False,True,True
GIM5,S000004559,Subunit of the heterohexameric cochaperone prefoldin complex,YML094W|PFD5,,GO:0006355,2,5,IBA|IC|IDA|IEA|IGI|IMP|IPI,False,False,False
GIS1,S000002503,Histone demethylase and transcription factor,YDR096W|histone demethylase GIS1,GO:0001227|GO:0001228|GO:0003677,GO:0000122|GO:0045944,11,9,HDA|IBA|IC|IDA|IEA|IMP,True,True,True
GLN3,S000000842,Transcriptional activator in nitrogen catabolite repression system,YER040W|nitrogen-responsive transcriptional regulator GLN3,GO:0000981|GO:0003677|GO:0003700,GO:0000122|GO:0006355|GO:0006357|GO:0045944,12,15,HDA|IBA|IDA|IEA|IMP,True,True,True
GON7,S000003720,Component of the EKC/KEOPS protein complex,YJL184W|LDB6|PCC2|chromatin DNA-binding EKC/KEOPS complex subunit GON7,,GO:0045944,1,5,IDA|IEA|IGI|IMP|IPI,False,True,False
GPB2,S000000052,Multistep regulator of cAMP-PKA signaling,YAL056W|KRH1,,GO:0045944,7,12,HDA|HMP|IBA|IDA|IEA|IGI|IMP|IPI,False,True,False
GSM1,S000003639,Putative zinc cluster protein of unknown function,YJL103C,GO:0000981|GO:0003677|GO:0003700,GO:0006355|GO:0006357,11,6,HDA|IBA|IC|IDA|IEA|IMP,True,False,False
GTR2,S000003395,Subunit of a TORC1-stimulating GTPase and the EGO/GSE complex,YGR163W,,GO:0045944,6,14,HDA|IBA|IDA|IEA|IGI|IMP|IPI,False,True,False
GTS1,S000003149,Protein involved in Arf3p regulation and in transcription regulation,YGL181W|LSR1|FHT1,,GO:0006357|GO:0045944,7,8,HDA|IBA|IDA|IEA|IMP|IPI|ISS,False,True,False
GZF3,S000003646,GATA zinc finger protein,YJL110C|DEH1|NIL2,GO:0000981|GO:0003677|GO:0003700,GO:0000122|GO:0006355|GO:0006357,12,9,HDA|IBA|IDA|IEA|IGI|IMP|IPI,True,False,True
HAA1,S000006212,Transcriptional activator involved in adaptation to weak acid stress,YPR008W,GO:0000981|GO:0003677|GO:0003700,GO:0006355|GO:0045944,12,10,HDA|IBA|IDA|IEA|IMP,True,True,False
HAC1,S000001863,Basic leucine zipper (bZIP) transcription factor (ATF/CREB1 homolog),YFL031W|ERN4|IRE15|transcription factor HAC1,GO:0000981|GO:0003677|GO:0003700,GO:0006355|GO:0045944,7,10,IDA|IEA|IMP,True,True,False
HAL1,S000006209,Cytoplasmic protein involved in halotolerance,YPR005C,,GO:0045944,1,2,IDA|IEA|IMP|ND,False,True,False
HAL9,S000005449,Putative transcription factor containing a zinc finger,YOL089C,GO:0000981|GO:0003677,GO:0006351|GO:0006355|GO:0045944,9,6,HDA|IC|IEA|IMP,True,True,False
HAP1,S000004246,Zinc finger transcription factor,YLR256W|CYP1,GO:0000981|GO:0001228|GO:0003677,GO:0006351|GO:0006355|GO:0006357,15,9,HDA|IBA|IDA|IEA|IGI|IMP,True,True,False
HAP2,S000003206,Subunit of the Hap2p/3p/4p/5p CCAAT-binding complex,YGL237C|transcription activator HAP2,GO:0000981|GO:0001228|GO:0003677|GO:0003700,GO:0006355|GO:0006357,6,4,HDA|IBA|IDA|IEA|IMP|IPI,True,True,False
HAP3,S000000117,Subunit of the Hap2p/3p/4p/5p CCAAT-binding complex,YBL021C,GO:0000981|GO:0001228|GO:0003677,GO:0006355|GO:0006357,8,5,IBA|IDA|IEA|IMP|IPI,True,True,False
HAP4,S000001592,Transcription factor,YKL109W|transcription factor HAP4,GO:0003677,GO:0006355,4,3,IDA|IEA|IMP|IPI,True,False,False
HAP5,S000005885,Subunit of the Hap2p/3p/4p/5p CCAAT-binding complex,YOR358W,GO:0001228|GO:0003677|GO:0003700,GO:0006355,8,4,IBA|IC|IDA|IEA|IGI|IMP|IPI,True,True,False
HCM1,S000000661,Forkhead transcription factor,YCR065W,GO:0000981|GO:0003677|GO:0003700,GO:0006355|GO:0006357|GO:0045944,21,9,HDA|IBA|IDA|IEA|IGI|IMP,True,True,False
HCS1,S000001500,Hexameric DNA polymerase alpha-associated DNA helicase A,YKL017C|DIP1|ATP-dependent 5'-3' DNA helicase HCS1,GO:0003677,,11,2,IBA|IDA|IEA,True,False,False
HDA1,S000004966,Putative catalytic subunit of a class II histone deacetylase complex,YNL021W|histone deacetylase HDA1,,GO:0000122|GO:0045944,5,11,IDA|IEA|IGI|IMP|IPI,False,True,True
HDA2,S000002703,Subunit of the HDA1 histone deacetylase complex,YDR295C|PLO2,GO:0003677,GO:0000122|GO:0045944,4,7,HDA|IBA|IDA|IEA|IMP|IPI,True,True,True
HDA3,S000006383,Subunit of the HDA1 histone deacetylase complex,YPR179C|PLO1,GO:0003677,GO:0000122,3,10,HDA|IDA|IEA|IMP|IPI,True,False,True
HFI1,S000006175,Adaptor protein required for structural integrity of the SAGA complex,YPL254W|ADA1|SUP110|GAN1|SRM12,,GO:0006357|GO:0006366|GO:0045893,3,5,IBA|IDA|IEA|IMP,False,False,False
HFM1,S000003220,Meiosis specific DNA helicase,YGL251C|MER3|DNA helicase,GO:0003677,,12,6,IBA|IDA|IEA|IMP,True,False,False
HHF1,S000000213,Histone H4,YBR009C|histone H4,GO:0003677,,6,5,IBA|IDA|IEA|IMP|TAS,True,False,False
HHF2,S000004975,Histone H4,YNL030W|histone H4,GO:0003677,,5,4,IDA|IEA|IMP|TAS,True,False,False
HHO1,S000006048,"Histone H1, linker histone with roles in meiosis and sporulation",YPL127C|histone H1,GO:0003677,GO:0006355,6,11,HDA|IBA|IDA|IEA|IGI|IMP,True,False,False
HHT1,S000000214,Histone H3,YBR010W|BUR5|SIN2|histone H3,GO:0003677,,7,7,HDA|IBA|IDA|IEA|IMP|TAS,True,False,False
HHT2,S000004976,Histone H3,YNL031C|histone H3,GO:0003677,,7,6,HDA|IDA|IEA|IMP|TAS,True,False,False
HIR1,S000000104,Subunit of the HIR complex,YBL008W,GO:0003677,GO:0000122|GO:0006351|GO:0006355,4,11,IBA|IDA|IEA|IGI|IMP|IPI,True,False,True
HIR2,S000005564,Subunit of HIR nucleosome assembly complex,YOR038C|SPT1,GO:0003677,GO:0000122|GO:0006351|GO:0006355,4,11,IBA|IDA|IEA|IGI|IMP|IPI,True,False,True
HIR3,S000003901,Subunit of the HIR complex,YJR140C|HPC1,GO:0003677,,4,7,IBA|IDA|IEA|IGI|IMP|IPI,True,False,False
HMI1,S000005455,Mitochondrial inner membrane localized ATP-dependent DNA helicase,YOL095C|ATP-dependent 3'-5' DNA helicase,GO:0003677,,14,7,HDA|IBA|IDA|IEA|IMP,True,False,False
HMLALPHA1,S000000571,Silenced copy of ALPHA1 at HML,YCL066W|ALPHA1|transcriptional co-activator mating type protein alpha,GO:0003677,GO:0006357,4,4,IEA|ISA,True,False,False
HMLALPHA2,S000000572,Silenced copy of ALPHA2 at HML,YCL067C|ALPHA2|homeodomain mating type protein alpha2,GO:0000981|GO:0001227|GO:0003677,GO:0000122|GO:0006357,7,3,IBA|IEA|ISA,True,False,True
HMO1,S000002581,Chromatin associated high mobility group (HMG) family member,YDR174W|HSM2,GO:0003677,,10,14,IBA|IDA|IEA|IGI|IMP,True,False,False
HMRA1,S000000694,Silenced copy of a1 at HMR,YCR097W|YCR097WB,GO:0000981|GO:0003677,GO:0006355|GO:0006357|GO:0045892,5,4,IDA|IEA,True,False,False
HMRA2,S000000692,Silenced copy of a2 at HMR,YCR096C|A2|homeodomain mating type protein a2,GO:0000981|GO:0003677,GO:0006357,5,2,IBA|IEA|ND,True,False,False
HMS1,S000005558,bHLH protein with similarity to myc-family transcription factors,YOR032C,GO:0003677|GO:0003700,GO:0006355,4,2,IEA|IGI|ISS|ND,True,False,False
HMS2,S000003908,Protein with similarity to heat shock transcription factors,YJR147W,GO:0003677|GO:0003700,GO:0006355|GO:0006357,6,3,HDA|IBA|IEA|IGI|ND,True,False,False
HNT3,S000005784,DNA 5' AMP hydrolase involved in DNA repair,YOR258W|DNA 5'-adenosine monophosphate hydrolase,GO:0003677,,11,8,HDA|IBA|IDA|IEA|IGI|IMP,True,False,False
HO,S000002386,Site-specific endonuclease,YDL227C,GO:0003677,,10,7,HDA|IDA|IEA|IMP,True,False,False
HOG1,S000004103,Mitogen-activated protein kinase involved in osmoregulation,YLR113W|SSK3|mitogen-activated protein kinase HOG1,,GO:0006357|GO:0045944,21,31,HDA|IBA|IDA|IEA|IMP|IPI,False,True,False
HOP1,S000001334,Meiosis-specific protein required for chromosome synapsis,YIL072W,GO:0003677,,4,11,HDA|IBA|IDA|IEA|IGI|IMP|IPI,True,False,False
HOP2,S000003001,Meiosis-specific protein that localizes to chromosomes,YGL033W,GO:0003677,,2,5,IDA|IEA|IMP,True,False,False
HOS1,S000006272,Class I histone deacetylase (HDAC) family member,YPR068C|histone deacetylase|CST3,,GO:0045944,9,12,IBA|IDA|IEA|IMP|IPI|ISA,False,True,False
HOS2,S000003162,Histone deacetylase and subunit of Set3 and Rpd3L complexes,YGL194C|RTL1|histone deacetylase HOS2,,GO:0006355|GO:0045944,7,9,HDA|IBA|IDA|IEA|IMP,False,True,False
HOS3,S000006037,Trichostatin A-insensitive homodimeric histone deacetylase (HDAC),YPL116W|histone deacetylase,,GO:0045944,5,9,HDA|IBA|IDA|IEA|IGI|IMP|IPI,False,True,False
HOT1,S000004783,Transcription factor for glycerol biosynthetic genes,YMR172W,GO:0000981,GO:0045944,5,10,IBA|IDA|IEA|IGI|IMP,False,True,False
HPC2,S000000419,Subunit of the HIR complex,YBR215W,GO:0003677,,2,5,HDA|IC|IDA|IEA|IGI|IMP|IPI,True,False,False
HRQ1,S000002699,3'-5' DNA helicase of the conserved RecQ family,YDR291W|ATP-dependent 3'-5' DNA helicase,GO:0003677,,16,12,HDA|IBA|IDA|IEA|IGI|IMP|IPI,True,False,False
HSF1,S000003041,Trimeric heat shock transcription factor,YGL073W|EXA3|MAS3|stress-responsive transcription factor HSF1,GO:0003677|GO:0003700,GO:0006355|GO:0006357|GO:0045944,7,29,HDA|IBA|IDA|IEA|IMP,True,True,False
HSL7,S000000337,Protein arginine N-methyltransferase,YBR133C|protein arginine N-methyltransferase,,GO:0006355,9,13,HDA|IBA|IDA|IEA|IMP,False,False,False
HST4,S000002599,NAD(+)-dependent protein deacetylase,YDR191W|NAD-dependent histone deacetylase HST4,,GO:0000122,5,16,HDA|IBA|IDA|IEA|IGI|IMP,False,False,True
HTA1,S000002633,Histone H2A,YDR225W|H2A1|SPT11|histone H2A,GO:0003677,GO:0000122,6,7,IBA|IDA|IEA|IMP|TAS,True,False,True
HTA2,S000000099,Histone H2A,YBL003C|H2A2|histone H2A,GO:0003677,,6,5,IBA|IDA|IEA|IMP|TAS,True,False,False
HTB1,S000002632,Histone H2B,YDR224C|SPT12|histone H2B,GO:0003677,GO:0000122,6,6,IBA|IDA|IEA|IGI|IMP,True,False,True
HTB2,S000000098,Histone H2B,YBL002W|histone H2B,GO:0003677,,6,2,IBA|IDA|IEA|TAS,True,False,False
HTZ1,S000005372,Histone variant H2AZ,YOL012C|H2A.F/Z|H2AZ|HTA3|histone H2AZ,GO:0003677,GO:0006357,6,7,HDA|IBA|IDA|IEA|IGI|IMP,True,False,False
HYM1,S000001672,Component of the RAM signaling network,YKL189W,,GO:0006355,2,7,IBA|IDA|IEA|IGI|IMP|ND,False,False,False
ICR1,S000132612,Long intergenic regulatory ncRNA,ICR1,,GO:0006357,1,3,IC|IDA|IGI|IMP|ND,False,False,False
IES2,S000005159,Protein that associates with the INO80 chromatin remodeling complex,YNL215W,GO:0003677,,2,6,HDA|IBA|IEA|IPI|ND,True,False,False
IFH1,S000004213,"Coactivator, regulates transcription of ribosomal protein (RP) genes",YLR223C,,GO:0006357,5,4,HDA|IBA|IDA|IEA|IGI|IMP,False,False,False
IKI3,S000004376,Subunit of Elongator complex,YLR384C|KTI7|TOT1|ELP1|Elongator subunit IKI3,,GO:0006357,2,6,IBA|IDA|IEA|IMP,False,False,False
IME1,S000003854,Master regulator of meiosis that is active only during meiotic events,YJR094C|transcription factor IME1,,GO:0006357|GO:0045944,1,7,IDA|IEA|IMP|IPI,False,True,False
IMP2',S000001416,Transcriptional activator involved in maintenance of ion homeostasis,YIL154C|IMP2,,GO:0045893,1,2,HDA|IDA|IEA|IMP,False,False,False
INO2,S000002530,Transcription factor,YDR123C|DIE1|SCS1,GO:0001228|GO:0003677,GO:0045944,6,5,IDA|IEA|IMP|IPI,True,True,False
INO4,S000005468,Transcription factor involved in phospholipid synthesis,YOL108C,GO:0001228|GO:0003677,GO:0045944,6,7,IDA|IEA|IMP|IPI,True,True,False
INO80,S000003118,ATPase and nucleosome spacing factor,YGL150C|chromatin-remodeling ATPase INO80,GO:0003677,GO:0006351|GO:0006366|GO:0045944,11,27,IBA|IDA|IEA|IGI|IMP,True,True,False
IOC2,S000004085,Subunit of the Isw1b complex,YLR095C,GO:0003677,,4,1,IDA|IEA|IPI,True,False,False
IOC3,S000001909,Subunit of the Isw1a complex,YFR013W,GO:0003677,,3,2,IC|IDA|IEA|IMP,True,False,False
IOC4,S000004647,Member of a complex (Isw1b) with Isw1p and Ioc2p,YMR044W,GO:0003677,GO:0006357,4,3,IBA|IDA|IEA|IMP|IPI,True,False,False
IRC3,S000002740,Double-stranded DNA-dependent helicase of the DExH/D-box family,YDR332W|double-stranded DNA-dependent ATPase,GO:0003677,,12,3,HDA|IBA|IDA|IEA|IMP,True,False,False
IRC5,S000001934,Putative ATPase containing the DEAD/H helicase-related sequence motif,YFR038W|putative ATPase,GO:0003677,,10,2,HDA|IBA|IEA|IMP|ISS,True,False,False
ISW1,S000000449,ATPase subunit of imitation-switch (ISWI) class chromatin remodelers,YBR245C|SGN2|chromatin-remodeling ATPase ISW1,GO:0003677,GO:0045944,19,22,HDA|IBA|IDA|IEA|IGI|IMP,True,True,False
ISW2,S000005831,ATP-dependent DNA translocase involved in chromatin remodeling,YOR304W|DNA translocase,GO:0003677,GO:0045944,17,17,HDA|IBA|IDA|IEA|IGI|IMP,True,True,False
IXR1,S000001515,Transcriptional repressor that regulates hypoxic genes during normoxia,YKL032C|ORD1|DNA-binding transcription repressor IXR1,GO:0003677,GO:0000122,7,9,IBA|IDA|IEA|IGI|IMP,True,False,True
IZH2,S000005362,Plasma membrane receptor for plant antifungal osmotin,YOL002C|PHO36|PAQR-type receptor,,GO:0000122,2,6,HDA|IBA|IDA|IEA|IMP|IPI,False,False,True
JHD1,S000000853,JmjC domain family histone demethylase specific for H3-K36,YER051W|JHDM1|KDM2|[Histone H3]-lysine-36 demethylase,,GO:0006357,9,7,IBA|IDA|IEA|IGI|IMP|ND,False,False,False
JHD2,S000003880,JmjC domain family histone demethylase,YJR119C|KDM5|histone demethylase,,GO:0000122|GO:0045944,10,15,HDA|IBA|IDA|IEA|IMP,False,True,True
KAE1,S000001746,Highly conserved ATPase of HSP70/DnaK family,YKR038C|tRNA N6-adenosine threonylcarbamoyltransferase,,GO:0045944,6,11,HDA|IBA|IDA|IEA|IGI|IMP|IPI,False,True,False
KAR4,S000000560,Transcription factor required for response to pheromones,YCL055W,GO:0003700,,4,9,HDA|IBA|IDA|IEA|IGI|IMP,False,False,False
KIN28,S000002266,"Ser/Thr protein kinase and subunit of TFIIK, a TFIIH subassembly",YDL108W|TFIIH complex serine/threonine-protein kinase subunit KIN28,,GO:0006366|GO:0045944,17,30,HDA|IBA|IDA|IEA|IMP|IPI,False,True,False
KTI12,S000001593,Protein that plays a role in modification of tRNA wobble nucleosides,YKL110C|TOT4,,GO:0006357,3,4,IBA|IDA|IEA|IGI|IMP,False,False,False
LAA2,S000000106,Clathrin adaptor (adaptin) accessory protein,YBL010C,GO:0003677,,2,3,HDA|IEA|IMP|ND,True,False,False
LAP3,S000005183,Cysteine aminopeptidase with homocysteine-thiolactonase activity,YNL239W|bleomycin hydrolase|BLH1|GAL6|YCP1,GO:0003677,GO:0000122,12,8,HDA|IBA|IDA|IEA|IMP,True,False,True
LEU3,S000004443,"Zinc-knuckle transcription factor, repressor and activator",YLR451W|leucine-responsive transcriptional regulator LEU3,GO:0000981|GO:0001227|GO:0001228|GO:0003677,GO:0000122|GO:0006355|GO:0045944,11,11,HDA|IBA|IDA|IEA|IMP,True,True,True
LRP1,S000001123,Nuclear exosome-associated nucleic acid binding protein,YHR081W|RRP47|YC1D,GO:0003677,,8,16,IBA|IDA|IEA|IGI|IMP,True,False,False
LYS14,S000002441,Transcriptional activator involved in regulating lysine biosynthesis,YDR034C,GO:0000981|GO:0001228|GO:0003677,GO:0006355|GO:0045944,9,8,HDA|IDA|IEA|IMP|ISA,True,True,False
MAC1,S000004623,Copper-sensing transcription factor,YMR021C|CUA1,GO:0000981|GO:0001228|GO:0003677|GO:0003700,GO:0006355|GO:0045944,13,10,IBA|IDA|IEA|IMP,True,True,False
MAG2,S000004419,Cytoplasmic protein of unknown function,YLR427W,,GO:0045944,3,2,HDA|IBA|IEA|ND,False,True,False
MAL13,S000003520,MAL-activator protein,YGR288W|MALR|transcription factor MAL13,GO:0000981|GO:0003677|GO:0003700,GO:0006351|GO:0006355|GO:0006357,12,8,IEA|IMP|ISS,True,False,False
MAL33,S000000501,MAL-activator protein,YBR297W|MAL3R|MALR|transcription factor MAL33,GO:0000981|GO:0003677,GO:0006351|GO:0006355|GO:0006357,11,6,IEA,True,False,False
MATALPHA1,S000000636,Transcriptional co-activator that regulates mating-type-specific genes,YCR040W|ALPHA1|transcriptional co-activator mating type protein alpha,GO:0003677,GO:0006357,4,4,IC|IDA|IEA|IMP,True,False,False
MATALPHA2,S000000635,Homeobox-domain protein,YCR039C|ALPHA2|homeodomain mating type protein alpha2,GO:0000981|GO:0001227|GO:0003677,GO:0000122|GO:0006357,9,3,IBA|IDA|IEA,True,False,True
MBF1,S000007253,Transcriptional coactivator,YOR298C-A|SUF13|multiprotein-bridging factor 1,GO:0003677,GO:0045944,3,1,HDA|IBA|IC|IDA|IEA,True,True,False
MBP1,S000002214,Transcription factor,YDL056W|transcription factor MBP1,GO:0001228|GO:0003677,GO:0045944,5,4,HDA|IBA|IDA|IEA|IMP,True,True,False
MCM1,S000004646,Transcription factor,YMR043W|FUN80|transcription factor MCM1,GO:0000981|GO:0001227|GO:0001228|GO:0003677,GO:0000122|GO:0006357|GO:0045944,33,20,HDA|IBA|IDA|IEA|IMP|IPI,True,True,True
MCM2,S000000119,Protein involved in DNA replication,YBL023C|MCM DNA helicase complex subunit MCM2,GO:0003677,,23,18,HDA|IBA|IDA|IEA|IMP,True,False,False
MCM3,S000000758,Protein involved in DNA replication,YEL032W|MCM DNA helicase complex subunit MCM3,GO:0003677,,23,16,HDA|IBA|IDA|IEA|IMP|IPI,True,False,False
MCM4,S000006223,Essential helicase component of heterohexameric MCM2-7 complexes,YPR019W|CDC54|HCD21|MCM DNA helicase complex subunit MCM4,GO:0003677,,25,19,IBA|IDA|IEA|IGI|IMP,True,False,False
MCM5,S000004264,Component of the Mcm2-7 hexameric helicase complex,YLR274W|CDC46|BOB1|MCM DNA helicase complex subunit MCM5,GO:0003677,,23,18,IBA|IDA|IEA|IMP|IPI,True,False,False
MCM6,S000003169,Protein involved in DNA replication,YGL201C|MCM DNA helicase complex subunit MCM6,GO:0003677,,25,15,IBA|IDA|IEA|IMP,True,False,False
MCM7,S000000406,Component of the Mcm2-7 hexameric helicase complex,YBR202W|CDC47|mini-chromosome maintenance complex protein 7,GO:0003677,,30,25,IBA|IDA|IEA|IGI|IMP,True,False,False
MEC3,S000004279,DNA damage and meiotic pachytene checkpoint protein,YLR288C|PIP3|PSO9,GO:0003677,,2,13,IBA|IDA|IEA|IGI|IMP,True,False,False
MED1,S000006274,Subunit of the RNA polymerase II mediator complex,YPR070W,,GO:0000122|GO:0006357|GO:0045944,2,3,IDA|IEA|IMP|ND,False,True,True
MED11,S000004718,Subunit of the RNA polymerase II mediator complex,YMR112C,,GO:0000122|GO:0006357|GO:0045944,3,4,IDA|IEA|IMP,False,True,True
MED2,S000002163,Subunit of the RNA polymerase II mediator complex,YDL005C,,GO:0000122|GO:0045944,2,5,IDA|IEA|IMP|IPI,False,True,True
MED4,S000005700,Subunit of the RNA polymerase II mediator complex,YOR174W,,GO:0006357|GO:0006366,6,3,IBA|IDA|IEA,False,False,False
MED6,S000001100,Subunit of the RNA polymerase II mediator complex,YHR058C|mediator complex subunit MED6,,GO:0006357|GO:0045944,4,6,IBA|IDA|IEA|IMP,False,True,False
MED7,S000005495,Subunit of the RNA polymerase II mediator complex,YOL135C|mediator complex subunit MED7,,GO:0000122|GO:0006357|GO:0045944,3,4,IBA|IDA|IEA|IMP|ND,False,True,True
MED8,S000000397,Subunit of the RNA polymerase II mediator complex,YBR193C,GO:0003677,GO:0000122|GO:0006357|GO:0045944,8,4,IBA|IDA|IEA|IMP|IPI,True,True,True
MET28,S000001456,bZIP transcriptional activator in the Cbf1p-Met4p-Met28p complex,YIR017C,GO:0001228|GO:0003677|GO:0003700,GO:0006355|GO:0006357|GO:0045944,6,9,HDA|IBA|IDA|IEA|IMP|IPI,True,True,False
MET31,S000005959,Zinc-finger DNA-binding transcription factor,YPL038W,GO:0000981|GO:0003677,GO:0000122|GO:0006357|GO:0045944,7,8,HDA|IDA|IEA|IGI|IMP|IPI,True,True,True
MET32,S000002661,Zinc-finger DNA-binding transcription factor,YDR253C,GO:0000981|GO:0003677,GO:0000122|GO:0006357|GO:0045944,9,9,HDA|IDA|IEA|IGI|IMP|IPI,True,True,True
MET4,S000005047,Leucine-zipper transcriptional activator,YNL103W,GO:0001228|GO:0003677,GO:0006357|GO:0045944,4,9,IBA|IDA|IEA|IMP|IPI,True,True,False
MFG1,S000002392,Regulator of filamentous growth,YDL233W,,GO:0000122|GO:0045944,2,3,HDA|IBA|IEA|ND,False,True,True
MGA1,S000003481,Protein similar to heat shock transcription factor,YGR249W,GO:0003677|GO:0003700,GO:0006355|GO:0006357,6,4,IBA|IDA|IEA|IGI|IMP|ND,True,False,False
MGA2,S000001472,ER membrane protein involved in regulation of OLE1 transcription,YIR033W,,GO:0045944,1,8,HDA|IDA|IEA|IGI|IMP|ND,False,True,False
MGM101,S000003905,Protein with a role in mitochondrial DNA recombinational repair,YJR144W|MGM9,GO:0003677,,5,12,HDA|IBA|IDA|IEA|IGI|IMP,True,False,False
MGS1,S000005162,Protein with DNA-dependent ATPase and ssDNA annealing activities,YNL218W|ssDNA-dependent ATPase MGS1,GO:0003677,,13,11,HDA|IBA|IDA|IEA|IGI|IMP,True,False,False
MGT1,S000002359,DNA repair methyltransferase (6-O-methylguanine-DNA methylase),YDL200C|MGMT|methylated-DNA--protein-cysteine methyltransferase,GO:0003677,,9,7,IC|IDA|IEA|IMP,True,False,False
MHF1,S000007626,Component of the heterotetrameric MHF histone-fold complex,YOL086W-A,GO:0003677,,4,5,IBA|IDA|IEA|IGI|ND,True,False,False
MHF2,S000028520,Component of the heterotetrameric MHF histone-fold complex,YDL160C-A,GO:0003677,,3,7,IBA|IDA|IEA|IGI|ND,True,False,False
MHR1,S000002704,Mitochondrial ribosomal protein of the large subunit,YDR296W|XTC1|mL67,GO:0003677,GO:0006355,10,13,HDA|IBA|IC|IDA|IEA|IGI|IMP|IPI,True,False,False
MIF2,S000001572,Centromeric CDEIII region binding protein,YKL089W,GO:0003677,,6,10,IBA|IDA|IEA|IGI|IMP,True,False,False
MIG1,S000003003,Transcription factor involved in glucose repression,YGL035C|SSN1|CAT4|TDS22|transcription factor MIG1,GO:0001227|GO:0003677,GO:0000122|GO:0045944,13,10,HDA|IBA|IDA|IEA|IGI|IMP,True,True,True
MIG2,S000003177,Zinc finger transcriptional repressor,YGL209W|MLZ1,GO:0001227|GO:0003677,GO:0000122|GO:0045944,7,11,HDA|IBA|IDA|IEA|IGI|IMP,True,True,True
MIG3,S000000830,Transcriptional regulator,YER028C,GO:0001227|GO:0003677,,9,10,HDA|IBA|IDA|IEA|IGI|IMP,True,False,True
MIP1,S000005857,Mitochondrial DNA polymerase gamma,YOR330C|DNA-directed DNA polymerase gamma MIP1,GO:0003677,,13,11,HDA|IBA|IDA|IEA|IMP,True,False,False
MIT1,S000000733,Transcriptional regulator of pseudohyphal growth,YEL007W,GO:0003677,,2,1,HDA|IBA|IEA|ND,True,False,False
MKS1,S000005020,Pleiotropic negative transcriptional regulator,YNL076W|LYS80,,GO:0000122,1,9,IBA|IDA|IEA|IGI|IMP|IPI|ND,False,False,True
MLP2,S000001411,Myosin-like protein associated with the nuclear envelope,YIL149C,,GO:0006355,3,12,HDA|IBA|IDA|IEA|IGI|IMP|IPI,False,False,False
MMS4,S000000302,Subunit of structure-specific Mms4p-Mus81p endonuclease,YBR098W|YBR100W|SLX2,GO:0003677,,9,23,IBA|IDA|IEA|IGI|IMP,True,False,False
MND1,S000003151,Protein required for recombination and meiotic nuclear division,YGL183C,GO:0003677,,4,6,HDA|IBA|IDA|IEA|IMP,True,False,False
MOT1,S000006003,Essential protein involved in regulation of transcription,YPL082C|BTAF1|BUR3|LPF4|END10|DNA-binding ATPase,GO:0003677,GO:0006357|GO:0045892,14,7,HDA|IBA|IDA|IEA|IMP|IPI,True,False,False
MOT3,S000004674,"Transcriptional repressor, activator",YMR070W|ROX7|[MOT3+]|[MOT3],GO:0000981,GO:0000122|GO:0045944,8,11,HDA|IDA|IEA|IMP|IPI,False,True,True
MPH1,S000001441,3'-5' DNA helicase involved in error-free bypass of DNA lesions,YIR002C|3'-5' DNA helicase,GO:0003677,,16,16,IBA|IDA|IEA|IGI|IMP|IPI,True,False,False
MSH1,S000001162,DNA-binding protein of the mitochondria,YHR120W|mismatch repair ATPase MSH1,GO:0003677,,21,17,HDA|IBA|IDA|IEA|IMP,True,False,False
MSH2,S000005450,Protein that binds to DNA mismatches,YOL090W|PMS5|mismatch repair ATPase MSH2,GO:0003677,,41,30,HDA|IBA|IDA|IEA|IGI|IMP|IPI,True,False,False
MSH3,S000000688,Mismatch repair protein,YCR092C|mismatch repair protein MSH3,GO:0003677,,26,26,HDA|IBA|IDA|IEA|IGI|IMP|IPI,True,False,False
MSH4,S000001891,Protein involved in meiotic recombination,YFL003C|MutS family protein MSH4,GO:0003677,,20,6,IBA|IDA|IEA|IMP|IPI,True,False,False
MSH5,S000002313,Protein of the MutS family,YDL154W|MutS family protein MSH5,GO:0003677,,14,10,HDA|IBA|IDA|IEA|IMP|IPI,True,False,False
MSH6,S000002504,Protein required for mismatch repair in mitosis and meiosis,YDR097C|PMS3|PMS6|mismatch repair ATPase MSH6,GO:0003677,,30,22,HDA|IBA|IDA|IEA|IGI|IMP|IPI,True,False,False
