yeastract_tf_name,jaspar_matrix_id,jaspar_tf_name,match_type,motif_width,information_content_bits,pfm_A,pfm_C,pfm_G,pfm_T
PDR1,MA0352.3,PDR1,exact,10.0,12.9777,"[18.0, 2.0, 1.0, 7.0, 72.0, 0.0, 2.0, 1.0, 132.0, 105.0]","[16.0, 9.0, 140.0, 130.0, 1.0, 132.0, 1.0, 1.0, 1.0, 8.0]","[6.0, 0.0, 0.0, 3.0, 70.0, 0.0, 138.0, 142.0, 7.0, 19.0]","[104.0, 133.0, 3.0, 4.0, 1.0, 12.0, 3.0, 0.0, 4.0, 12.0]"
PDR3,MA0353.1,PDR3,exact,8.0,15.1206,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 203.0]","[0.0, 203.0, 203.0, 0.0, 203.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 203.0, 0.0, 203.0, 203.0, 0.0]","[203.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
PDR8,MA0354.2,PDR8,exact,7.0,10.8997,"[0.0, 0.0, 0.0, 100.0, 8.0, 100.0, 13.0]","[100.0, 0.0, 0.0, 0.0, 8.0, 0.0, 6.0]","[0.0, 100.0, 100.0, 0.0, 85.0, 0.0, 6.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 75.0]"
PHO2,MA0356.1,PHO2,exact,6.0,6.6765,"[52.0, 12.0, 100.0, 56.0, 23.0, 63.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[8.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[41.0, 88.0, 0.0, 44.0, 77.0, 37.0]"
PHO4,MA0357.1,PHO4,exact,8.0,10.8805,"[94.0, 97.0, 967.0, 0.0, 85.0, 2.0, 1.0, 4.0]","[393.0, 900.0, 1.0, 911.0, 1.0, 28.0, 0.0, 507.0]","[507.0, 0.0, 28.0, 1.0, 911.0, 1.0, 900.0, 393.0]","[4.0, 1.0, 2.0, 85.0, 0.0, 967.0, 97.0, 94.0]"
PIP2,MA2702.1,PIP2,exact,15.0,13.538,"[7.0, 4.0, 3.0, 3.0, 3.0, 0.0, 1.0, 0.0, 51.0, 35.0, 38.0, 12.0, 48.0, 38.0, 32.0]","[11.0, 6.0, 44.0, 47.0, 3.0, 46.0, 1.0, 2.0, 2.0, 1.0, 5.0, 3.0, 3.0, 6.0, 6.0]","[3.0, 2.0, 4.0, 4.0, 49.0, 2.0, 53.0, 52.0, 2.0, 12.0, 5.0, 2.0, 0.0, 7.0, 11.0]","[34.0, 43.0, 4.0, 1.0, 0.0, 7.0, 0.0, 1.0, 0.0, 7.0, 7.0, 38.0, 4.0, 4.0, 6.0]"
PPR1,MA2703.1,PPR1,exact,14.0,10.3785,"[36.0, 11.0, 5.0, 7.0, 148.0, 89.0, 70.0, 67.0, 39.0, 27.0, 4.0, 9.0, 10.0, 154.0]","[24.0, 210.0, 4.0, 7.0, 33.0, 50.0, 46.0, 53.0, 60.0, 29.0, 219.0, 218.0, 7.0, 23.0]","[23.0, 6.0, 219.0, 219.0, 29.0, 59.0, 54.0, 46.0, 49.0, 33.0, 7.0, 5.0, 209.0, 24.0]","[154.0, 10.0, 9.0, 4.0, 27.0, 39.0, 67.0, 71.0, 89.0, 148.0, 7.0, 5.0, 11.0, 36.0]"
PUT3,MA0358.2,PUT3,exact,6.0,9.1901,"[9.0, 2.0, 0.0, 0.0, 0.0, 0.0]","[72.0, 90.0, 100.0, 0.0, 0.0, 0.0]","[9.0, 2.0, 0.0, 100.0, 100.0, 100.0]","[9.0, 6.0, 0.0, 0.0, 0.0, 0.0]"
RAP1,MA0359.3,RAP1,exact,12.0,14.387,"[200.0, 3.0, 4.0, 13.0, 214.0, 9.0, 6.0, 0.0, 48.0, 1.0, 3.0, 27.0]","[10.0, 4.0, 5.0, 27.0, 36.0, 54.0, 0.0, 0.0, 5.0, 5.0, 18.0, 48.0]","[105.0, 39.0, 317.0, 4.0, 51.0, 0.0, 327.0, 318.0, 281.0, 2.0, 264.0, 24.0]","[21.0, 290.0, 10.0, 292.0, 35.0, 273.0, 3.0, 18.0, 2.0, 328.0, 51.0, 237.0]"
RDS1,MA0361.2,RDS1,exact,6.0,8.6765,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[91.0, 11.0, 0.0, 84.0, 95.0, 11.0]","[1.0, 89.0, 100.0, 16.0, 5.0, 89.0]","[7.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
RDS2,MA0362.2,RDS2,exact,6.0,9.0537,"[0.0, 0.0, 0.0, 0.0, 12.0, 17.0]","[0.0, 100.0, 0.0, 0.0, 1.0, 7.0]","[0.0, 0.0, 100.0, 100.0, 86.0, 70.0]","[100.0, 0.0, 0.0, 0.0, 1.0, 7.0]"
REB1,MA0363.3,REB1,exact,9.0,12.2795,"[281.0, 8.0, 28.0, 679.0, 2.0, 4.0, 3.0, 11.0, 104.0]","[79.0, 20.0, 28.0, 1.0, 684.0, 681.0, 681.0, 5.0, 133.0]","[281.0, 5.0, 7.0, 3.0, 2.0, 5.0, 3.0, 578.0, 377.0]","[50.0, 658.0, 628.0, 8.0, 3.0, 1.0, 4.0, 97.0, 77.0]"
RFX1,MA0365.2,RFX1,exact,7.0,10.0932,"[0.0, 0.0, 0.0, 31.0, 0.0, 2.0, 88.0]","[0.0, 0.0, 0.0, 0.0, 100.0, 48.0, 4.0]","[100.0, 0.0, 0.0, 69.0, 0.0, 2.0, 4.0]","[0.0, 100.0, 100.0, 0.0, 0.0, 48.0, 4.0]"
RGT1,MA0367.2,RGT1,exact,8.0,8.5627,"[37.0, 22.0, 27.0, 30.0, 0.0, 0.0, 0.0, 4.0]","[0.0, 2.0, 15.0, 18.0, 12.0, 100.0, 100.0, 0.0]","[0.0, 0.0, 17.0, 4.0, 0.0, 0.0, 0.0, 89.0]","[63.0, 77.0, 41.0, 48.0, 88.0, 0.0, 0.0, 8.0]"
RIM101,MA0368.1,RIM101,exact,7.0,11.1228,"[9.0, 0.0, 0.0, 0.0, 100.0, 100.0, 0.0]","[43.0, 0.0, 100.0, 100.0, 0.0, 0.0, 0.0]","[9.0, 100.0, 0.0, 0.0, 0.0, 0.0, 100.0]","[39.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
RLM1,MA0369.2,RLM1,exact,14.0,16.1832,"[11.0, 0.0, 0.0, 0.0, 42.0, 16.0, 22.0, 23.0, 32.0, 0.0, 42.0, 0.0, 27.0, 4.0]","[0.0, 0.0, 42.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 14.0, 15.0]","[1.0, 5.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 42.0, 0.0, 2.0]","[30.0, 37.0, 0.0, 42.0, 0.0, 26.0, 20.0, 19.0, 10.0, 42.0, 0.0, 0.0, 1.0, 20.0]"
RME1,MA0370.1,RME1,exact,10.0,9.3692,"[0.0, 16.0, 16.0, 160.0, 119.0, 139.0, 27.0, 34.0, 92.0, 126.0]","[52.0, 96.0, 100.0, 0.0, 0.0, 29.0, 0.0, 0.0, 39.0, 0.0]","[0.0, 33.0, 49.0, 0.0, 27.0, 0.0, 244.0, 229.0, 35.0, 19.0]","[131.0, 69.0, 58.0, 0.0, 22.0, 2.0, 0.0, 0.0, 22.0, 18.0]"
ROF1,MA0371.1,ROX1,fuzzy,12.0,7.1803,"[0.0, 0.0, 2.0, 7.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]","[4.0, 6.0, 4.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5.0, 0.0, 5.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 8.0, 0.0, 0.0, 1.0, 1.0, 2.0]","[4.0, 2.0, 2.0, 0.0, 8.0, 7.0, 0.0, 8.0, 8.0, 2.0, 6.0, 1.0]"
ROX1,MA0371.1,ROX1,exact,12.0,7.1803,"[0.0, 0.0, 2.0, 7.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]","[4.0, 6.0, 4.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5.0, 0.0, 5.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 8.0, 0.0, 0.0, 1.0, 1.0, 2.0]","[4.0, 2.0, 2.0, 0.0, 8.0, 7.0, 0.0, 8.0, 8.0, 2.0, 6.0, 1.0]"
RPH1,MA0372.2,RPH1,exact,7.0,10.4043,"[0.0, 0.0, 0.0, 0.0, 0.0, 63.0, 74.0]","[100.0, 100.0, 100.0, 100.0, 0.0, 1.0, 7.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 7.0, 7.0]","[0.0, 0.0, 0.0, 0.0, 100.0, 28.0, 13.0]"
RPN4,MA0373.1,RPN4,exact,7.0,10.5897,"[23.0, 0.0, 0.0, 0.0, 0.0, 0.0, 13.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 100.0, 0.0]","[67.0, 100.0, 12.0, 100.0, 100.0, 0.0, 87.0]","[9.0, 0.0, 88.0, 0.0, 0.0, 0.0, 0.0]"
RTG1,MA2704.1,RTG1,exact,7.0,8.9405,"[142.0, 173.0, 4.0, 7.0, 180.0, 0.0, 143.0]","[9.0, 5.0, 5.0, 12.0, 0.0, 180.0, 15.0]","[4.0, 8.0, 3.0, 167.0, 2.0, 6.0, 12.0]","[35.0, 4.0, 178.0, 4.0, 8.0, 4.0, 20.0]"
RTG3,MA0376.2,RTG3,exact,8.0,11.1032,"[34.0, 19.0, 905.0, 5.0, 28.0, 7.0, 7.0, 275.0]","[27.0, 953.0, 5.0, 949.0, 16.0, 81.0, 19.0, 662.0]","[662.0, 19.0, 81.0, 16.0, 949.0, 5.0, 953.0, 27.0]","[275.0, 7.0, 7.0, 28.0, 5.0, 905.0, 19.0, 34.0]"
SFL1,MA0377.2,SFL1,exact,10.0,9.1117,"[727.0, 127.0, 506.0, 18.0, 956.0, 959.0, 22.0, 616.0, 596.0, 535.0]","[30.0, 178.0, 261.0, 10.0, 16.0, 9.0, 47.0, 129.0, 134.0, 221.0]","[124.0, 108.0, 226.0, 960.0, 5.0, 21.0, 806.0, 218.0, 36.0, 48.0]","[118.0, 586.0, 6.0, 10.0, 21.0, 9.0, 123.0, 36.0, 232.0, 194.0]"
SIP4,MA0380.2,SIP4,exact,6.0,7.5632,"[0.0, 0.0, 0.0, 0.0, 23.0, 57.0]","[27.0, 99.0, 100.0, 0.0, 0.0, 16.0]","[0.0, 0.0, 0.0, 100.0, 63.0, 25.0]","[73.0, 1.0, 0.0, 0.0, 14.0, 0.0]"
SKN7,MA0381.2,SKN7,exact,5.0,7.1372,"[0.0, 0.0, 0.0, 0.0, 49.0]","[0.0, 0.0, 100.0, 84.0, 15.0]","[100.0, 100.0, 0.0, 16.0, 37.0]","[0.0, 0.0, 0.0, 0.0, 0.0]"
SKO1,MA0382.3,SKO1,exact,10.0,13.0683,"[244.0, 3.0, 3.0, 264.0, 0.0, 2.0, 9.0, 186.0, 186.0, 47.0]","[6.0, 3.0, 0.0, 1.0, 256.0, 0.0, 8.0, 67.0, 8.0, 20.0]","[12.0, 0.0, 209.0, 2.0, 0.0, 263.0, 2.0, 5.0, 24.0, 40.0]","[5.0, 261.0, 55.0, 0.0, 11.0, 2.0, 248.0, 9.0, 49.0, 160.0]"
SMP1,MA2706.1,SMP1,exact,12.0,12.6962,"[8.0, 7.0, 7.0, 2.0, 2.0, 53.0, 6.0, 11.0, 7.0, 18.0, 5.0, 61.0]","[33.0, 6.0, 0.0, 65.0, 2.0, 2.0, 2.0, 2.0, 2.0, 0.0, 1.0, 3.0]","[4.0, 3.0, 7.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 4.0]","[24.0, 53.0, 55.0, 2.0, 65.0, 14.0, 61.0, 55.0, 59.0, 51.0, 62.0, 1.0]"
STB4,MA0391.1,STB4,exact,7.0,10.3001,"[9.0, 0.0, 0.0, 0.0, 0.0, 100.0, 75.0]","[43.0, 0.0, 100.0, 0.0, 0.0, 0.0, 1.0]","[9.0, 0.0, 0.0, 100.0, 100.0, 0.0, 1.0]","[39.0, 100.0, 0.0, 0.0, 0.0, 0.0, 23.0]"
STB5,MA0392.1,STB5,exact,8.0,8.2041,"[0.0, 0.0, 0.0, 23.0, 23.0, 19.0, 6.0, 96.0]","[99.0, 0.0, 0.0, 19.0, 23.0, 25.0, 12.0, 1.0]","[0.0, 99.0, 99.0, 26.0, 47.0, 12.0, 6.0, 1.0]","[0.0, 0.0, 0.0, 32.0, 8.0, 45.0, 76.0, 1.0]"
STE12,MA0393.1,STE12,exact,7.0,10.3058,"[0.0, 4297.0, 27122.0, 25290.0, 27887.0, 98.0, 15301.0]","[3261.0, 0.0, 0.0, 167.0, 0.0, 27779.0, 3002.0]","[96.0, 24137.0, 1278.0, 2703.0, 0.0, 0.0, 9387.0]","[25022.0, 198.0, 0.0, 0.0, 0.0, 97.0, 2275.0]"
STP1,MA0394.1,STP1,exact,8.0,10.1005,"[4.0, 49.0, 0.0, 0.0, 12.0, 0.0, 4.0, 4.0]","[82.0, 0.0, 279.0, 0.0, 0.0, 279.0, 0.0, 94.0]","[33.0, 192.0, 0.0, 266.0, 255.0, 0.0, 119.0, 70.0]","[87.0, 0.0, 0.0, 4.0, 0.0, 0.0, 87.0, 57.0]"
STP2,MA0395.2,STP2,exact,9.0,10.332,"[238.0, 113.0, 34.0, 2.0, 0.0, 1.0, 8.0, 14.0, 618.0]","[111.0, 11.0, 647.0, 5.0, 849.0, 866.0, 13.0, 520.0, 12.0]","[567.0, 829.0, 5.0, 987.0, 148.0, 128.0, 948.0, 4.0, 338.0]","[81.0, 45.0, 312.0, 4.0, 1.0, 3.0, 29.0, 460.0, 30.0]"
SUM1,MA0398.2,SUM1,exact,8.0,8.1982,"[52.0, 62.0, 100.0, 0.0, 8.0, 24.0, 28.0, 15.0]","[8.0, 2.0, 0.0, 0.0, 0.0, 0.0, 5.0, 15.0]","[8.0, 2.0, 0.0, 0.0, 0.0, 0.0, 5.0, 11.0]","[32.0, 34.0, 0.0, 100.0, 92.0, 76.0, 61.0, 59.0]"
SUT1,MA0399.1,SUT1,exact,7.0,7.1906,"[23.0, 48.0, 0.0, 8.0, 0.0, 49.0, 44.0]","[142.0, 5.0, 266.0, 61.0, 46.0, 35.0, 14.0]","[36.0, 185.0, 0.0, 188.0, 226.0, 151.0, 170.0]","[29.0, 0.0, 0.0, 1.0, 0.0, 0.0, 4.0]"
SWI4,MA0401.1,SWI4,exact,8.0,10.8373,"[62.0, 0.0, 15.0, 0.0, 0.0, 100.0, 94.0, 62.0]","[8.0, 100.0, 0.0, 100.0, 0.0, 0.0, 2.0, 8.0]","[15.0, 0.0, 85.0, 0.0, 100.0, 0.0, 2.0, 8.0]","[15.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 23.0]"
SWI5,MA0402.2,SWI5,exact,7.0,10.1544,"[8.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4.0]","[8.0, 0.0, 100.0, 0.0, 0.0, 0.0, 4.0]","[23.0, 100.0, 0.0, 0.0, 100.0, 100.0, 27.0]","[62.0, 0.0, 0.0, 100.0, 0.0, 0.0, 65.0]"
TDA9,MA0431.2,TDA9,exact,7.0,9.7317,"[0.0, 0.0, 0.0, 0.0, 30.0, 0.0, 44.0]","[100.0, 100.0, 100.0, 100.0, 0.0, 100.0, 16.0]","[0.0, 0.0, 0.0, 0.0, 36.0, 0.0, 3.0]","[0.0, 0.0, 0.0, 0.0, 34.0, 0.0, 38.0]"
TEA1,MA0405.1,TEA1,exact,8.0,8.4165,"[5.0, 0.0, 0.0, 0.0, 50.0, 0.0, 60.0, 15.0]","[5.0, 100.0, 0.0, 40.0, 0.0, 80.0, 0.0, 20.0]","[75.0, 0.0, 100.0, 60.0, 50.0, 20.0, 10.0, 5.0]","[15.0, 0.0, 0.0, 0.0, 0.0, 0.0, 30.0, 60.0]"
TEC1,MA0406.2,TEC1,exact,7.0,9.5316,"[52.0, 0.0, 100.0, 5.0, 0.0, 0.0, 0.0]","[7.0, 95.0, 0.0, 0.0, 0.0, 91.0, 68.0]","[34.0, 5.0, 0.0, 0.0, 0.0, 9.0, 0.0]","[7.0, 0.0, 0.0, 95.0, 100.0, 0.0, 32.0]"
TYE7,MA0409.1,TYE7,exact,7.0,10.7259,"[3.0, 100.0, 0.0, 0.0, 0.0, 0.0, 78.0]","[93.0, 0.0, 100.0, 10.0, 0.0, 0.0, 8.0]","[3.0, 0.0, 0.0, 90.0, 0.0, 100.0, 8.0]","[3.0, 0.0, 0.0, 0.0, 100.0, 0.0, 8.0]"
UGA3,MA0410.2,UGA3,exact,7.0,9.8489,"[4.0, 0.0, 0.0, 0.0, 0.0, 2.0, 85.0]","[28.0, 0.0, 100.0, 0.0, 0.0, 27.0, 2.0]","[63.0, 100.0, 0.0, 100.0, 100.0, 69.0, 2.0]","[4.0, 0.0, 0.0, 0.0, 0.0, 2.0, 10.0]"
UME6,MA0412.3,UME6,exact,12.0,14.7595,"[101.0, 64.0, 2.0, 194.0, 10.0, 0.0, 0.0, 3.0, 0.0, 2.0, 32.0, 160.0]","[17.0, 9.0, 8.0, 1.0, 9.0, 216.0, 218.0, 0.0, 217.0, 185.0, 82.0, 16.0]","[25.0, 13.0, 6.0, 3.0, 198.0, 1.0, 0.0, 215.0, 1.0, 12.0, 97.0, 22.0]","[75.0, 132.0, 202.0, 20.0, 1.0, 1.0, 0.0, 0.0, 0.0, 19.0, 7.0, 20.0]"
UPC2,MA0411.2,UPC2,exact,6.0,7.7966,"[59.0, 38.0, 100.0, 0.0, 1.0, 83.0]","[3.0, 0.0, 0.0, 100.0, 0.0, 5.0]","[28.0, 0.0, 0.0, 0.0, 99.0, 9.0]","[9.0, 62.0, 0.0, 0.0, 0.0, 4.0]"
USV1,MA0413.2,USV1,exact,10.0,14.6663,"[133.0, 318.0, 1.0, 0.0, 3.0, 1.0, 0.0, 0.0, 956.0, 850.0]","[55.0, 551.0, 967.0, 977.0, 993.0, 981.0, 6.0, 2.0, 0.0, 92.0]","[157.0, 101.0, 26.0, 0.0, 1.0, 0.0, 3.0, 869.0, 36.0, 21.0]","[652.0, 28.0, 3.0, 20.0, 1.0, 16.0, 989.0, 126.0, 5.0, 35.0]"
WAR1,MA0274.1,ARR1,fuzzy,8.0,8.4411,"[160.0, 24.0, 30.0, 0.0, 73.0, 129.0, 137.0, 11.0]","[0.0, 75.0, 70.0, 0.0, 0.0, 41.0, 0.0, 0.0]","[0.0, 29.0, 0.0, 0.0, 161.0, 12.0, 29.0, 24.0]","[0.0, 73.0, 87.0, 161.0, 0.0, 0.0, 3.0, 129.0]"
XBP1,MA0414.2,XBP1,exact,6.0,8.0295,"[12.0, 0.0, 0.0, 0.0, 100.0, 40.0]","[51.0, 0.0, 100.0, 0.0, 0.0, 8.0]","[7.0, 0.0, 0.0, 100.0, 0.0, 50.0]","[31.0, 100.0, 0.0, 0.0, 0.0, 3.0]"
YAP1,MA0415.2,YAP1,exact,10.0,14.9601,"[397.0, 5.0, 8.0, 976.0, 1.0, 60.0, 10.0, 971.0, 981.0, 35.0]","[528.0, 3.0, 13.0, 3.0, 900.0, 36.0, 9.0, 6.0, 8.0, 28.0]","[50.0, 8.0, 6.0, 9.0, 36.0, 900.0, 3.0, 13.0, 3.0, 516.0]","[23.0, 981.0, 971.0, 10.0, 60.0, 1.0, 976.0, 8.0, 5.0, 418.0]"
YAP3,MA0416.2,YAP3,exact,7.0,11.0325,"[65.0, 0.0, 0.0, 100.0, 0.0, 0.0, 2.0]","[19.0, 0.0, 0.0, 0.0, 100.0, 0.0, 2.0]","[12.0, 0.0, 0.0, 0.0, 0.0, 100.0, 2.0]","[4.0, 100.0, 100.0, 0.0, 0.0, 0.0, 94.0]"
YAP5,MA0417.1,YAP5,exact,6.0,7.9674,"[122.0, 124.0, 86.0, 0.0, 161.0, 19.0]","[0.0, 0.0, 0.0, 264.0, 0.0, 0.0]","[0.0, 67.0, 136.0, 0.0, 0.0, 0.0]","[34.0, 0.0, 0.0, 17.0, 0.0, 137.0]"
YRR1,MA0439.2,YRR1,exact,10.0,9.037,"[16.0, 22.0, 89.0, 19.0, 28.0, 4.0, 0.0, 0.0, 3.0, 6.0]","[16.0, 8.0, 1.0, 9.0, 33.0, 22.0, 100.0, 100.0, 0.0, 41.0]","[10.0, 4.0, 2.0, 4.0, 8.0, 7.0, 0.0, 0.0, 95.0, 14.0]","[57.0, 66.0, 8.0, 68.0, 32.0, 68.0, 0.0, 0.0, 2.0, 39.0]"
ZAP1,MA0440.1,ZAP1,exact,15.0,20.8553,"[169.0, 0.0, 0.0, 0.0, 0.0, 107.0, 169.0, 119.0, 0.0, 0.0, 0.0, 21.0, 119.0, 9.0, 46.0]","[0.0, 279.0, 279.0, 97.0, 0.0, 77.0, 0.0, 17.0, 0.0, 0.0, 0.0, 97.0, 0.0, 17.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 17.0, 0.0, 57.0, 279.0, 279.0, 0.0, 37.0, 57.0, 0.0, 198.0]","[0.0, 0.0, 0.0, 107.0, 169.0, 0.0, 0.0, 0.0, 0.0, 0.0, 169.0, 58.0, 9.0, 145.0, 0.0]"
ZNF1,MA2701.1,FZF1,fuzzy,7.0,9.9875,"[2.0, 0.0, 174.0, 3.0, 4.0, 162.0, 96.0]","[178.0, 2.0, 7.0, 1.0, 176.0, 4.0, 28.0]","[2.0, 4.0, 1.0, 1.0, 1.0, 5.0, 16.0]","[0.0, 176.0, 0.0, 177.0, 1.0, 11.0, 42.0]"
